antecedent,consequent,support,confidence,lift
['48'],['19'],0.11,0.37,1.02
['19'],['48'],0.11,0.3,1.02
['37'],['30'],0.05,0.35,0.97
['30'],['37'],0.05,0.14,0.97
['32'],['28'],0.05,0.21,1.12
['28'],['32'],0.05,0.28,1.12
['19'],['3'],0.05,0.15,1.04
['3'],['19'],0.05,0.37,1.04
['19'],['28'],0.06,0.18,0.95
['28'],['19'],0.06,0.34,0.95
['32'],['14'],0.13,0.52,1.04
['14'],['32'],0.13,0.26,1.04
['48'],['28'],0.05,0.18,0.97
['28'],['48'],0.05,0.29,0.97
['42'],['30'],0.08,0.38,1.04
['30'],['42'],0.08,0.22,1.04
['16'],['30'],0.12,0.36,0.99
['30'],['16'],0.12,0.34,0.99
['19'],['14'],0.19,0.53,1.04
['14'],['19'],0.19,0.38,1.04
['32'],['30'],0.1,0.4,1.1
['30'],['32'],0.1,0.28,1.1
['32'],['42'],0.06,0.23,1.11
['42'],['32'],0.06,0.28,1.11
['19'],['37'],0.06,0.16,1.1
['37'],['19'],0.06,0.4,1.1
['14'],['30'],0.19,0.37,1.02
['30'],['14'],0.19,0.52,1.02
['48'],['14'],0.17,0.57,1.13
['14'],['48'],0.17,0.33,1.13
['3'],['30'],0.05,0.38,1.04
['30'],['3'],0.05,0.15,1.04
['42'],['14'],0.1,0.51,1.0
['14'],['42'],0.1,0.21,1.0
['28'],['30'],0.07,0.4,1.1
['30'],['28'],0.07,0.21,1.1
['28'],['14'],0.1,0.52,1.03
['14'],['28'],0.1,0.19,1.03
['32'],['19'],0.1,0.38,1.05
['19'],['32'],0.1,0.26,1.05
['16'],['28'],0.06,0.19,1.01
['28'],['16'],0.06,0.34,1.01
['16'],['42'],0.07,0.21,1.01
['42'],['16'],0.07,0.35,1.01
['3'],['14'],0.07,0.51,1.02
['14'],['3'],0.07,0.15,1.02
['48'],['30'],0.11,0.36,1.0
['30'],['48'],0.11,0.3,1.0
['37'],['14'],0.08,0.54,1.06
['14'],['37'],0.08,0.15,1.06
['19'],['30'],0.14,0.38,1.04
['30'],['19'],0.14,0.37,1.04
['16'],['48'],0.11,0.33,1.11
['48'],['16'],0.11,0.38,1.11
['42'],['19'],0.08,0.39,1.08
['19'],['42'],0.08,0.22,1.08
['16'],['37'],0.06,0.16,1.14
['37'],['16'],0.06,0.39,1.14
['16'],['32'],0.09,0.27,1.07
['32'],['16'],0.09,0.37,1.07
['32'],['48'],0.08,0.31,1.04
['48'],['32'],0.08,0.26,1.04
['48'],['42'],0.07,0.23,1.12
['42'],['48'],0.07,0.33,1.12
['16'],['19'],0.13,0.38,1.06
['19'],['16'],0.13,0.36,1.06
['16'],['14'],0.19,0.55,1.1
['14'],['16'],0.19,0.37,1.1
['38'],['14'],0.09,0.52,1.03
['14'],['38'],0.09,0.17,1.03
['12'],['14'],0.12,0.54,1.07
['14'],['12'],0.12,0.23,1.07
['14'],['39'],0.11,0.22,1.08
['39'],['14'],0.11,0.54,1.08
['18'],['39'],0.11,0.21,1.04
['39'],['18'],0.11,0.53,1.04
['18'],['14'],0.27,0.54,1.07
['14'],['18'],0.27,0.54,1.07
['18'],['38'],0.09,0.18,1.1
['38'],['18'],0.09,0.56,1.1
['18'],['12'],0.11,0.22,1.02
['12'],['18'],0.11,0.52,1.02
['18'],['26'],0.13,0.26,1.0
['26'],['18'],0.13,0.51,1.0
['1'],['28'],0.07,0.21,1.14
['28'],['1'],0.07,0.38,1.14
['18'],['28'],0.1,0.2,1.08
['28'],['18'],0.1,0.55,1.08
['18'],['21'],0.09,0.18,1.05
['21'],['18'],0.09,0.54,1.05
['1'],['21'],0.06,0.18,1.04
['21'],['1'],0.06,0.35,1.04
['24'],['18'],0.07,0.58,1.14
['18'],['24'],0.07,0.14,1.14
['26'],['28'],0.05,0.21,1.12
['28'],['26'],0.05,0.29,1.12
['1'],['18'],0.19,0.56,1.1
['18'],['1'],0.19,0.37,1.1
['1'],['26'],0.1,0.29,1.11
['26'],['1'],0.1,0.37,1.11
['11'],['14'],0.09,0.51,1.01
['14'],['11'],0.09,0.18,1.01
['18'],['5'],0.07,0.14,1.13
['5'],['18'],0.07,0.57,1.13
['34'],['5'],0.06,0.14,1.13
['5'],['34'],0.06,0.5,1.13
['18'],['11'],0.09,0.18,1.01
['11'],['18'],0.09,0.52,1.01
['49'],['14'],0.13,0.53,1.06
['14'],['49'],0.13,0.25,1.06
['18'],['30'],0.2,0.38,1.06
['30'],['18'],0.2,0.54,1.06
['11'],['30'],0.06,0.37,1.02
['30'],['11'],0.06,0.18,1.02
['18'],['34'],0.24,0.47,1.07
['34'],['18'],0.24,0.55,1.07
['34'],['19'],0.16,0.37,1.04
['19'],['34'],0.16,0.46,1.04
['49'],['19'],0.08,0.35,0.97
['19'],['49'],0.08,0.23,0.97
['49'],['30'],0.09,0.37,1.02
['30'],['49'],0.09,0.24,1.02
['5'],['14'],0.07,0.55,1.09
['14'],['5'],0.07,0.13,1.09
['32'],['34'],0.11,0.45,1.02
['34'],['32'],0.11,0.26,1.02
['11'],['19'],0.07,0.4,1.11
['19'],['11'],0.07,0.19,1.11
['32'],['49'],0.06,0.25,1.03
['49'],['32'],0.06,0.26,1.03
['34'],['11'],0.08,0.19,1.08
['11'],['34'],0.08,0.48,1.08
['49'],['34'],0.11,0.45,1.02
['34'],['49'],0.11,0.24,1.02
['34'],['14'],0.23,0.51,1.01
['14'],['34'],0.23,0.45,1.01
['32'],['18'],0.14,0.56,1.11
['18'],['32'],0.14,0.28,1.11
['49'],['18'],0.13,0.55,1.08
['18'],['49'],0.13,0.26,1.08
['18'],['19'],0.19,0.38,1.06
['19'],['18'],0.19,0.54,1.06
['34'],['30'],0.16,0.37,1.03
['30'],['34'],0.16,0.45,1.03
['1'],['30'],0.12,0.37,1.02
['30'],['1'],0.12,0.34,1.02
['4'],['14'],0.12,0.51,1.01
['14'],['4'],0.12,0.24,1.01
['4'],['30'],0.09,0.39,1.08
['30'],['4'],0.09,0.26,1.08
['1'],['3'],0.05,0.15,1.07
['3'],['1'],0.05,0.36,1.07
['1'],['14'],0.18,0.52,1.03
['14'],['1'],0.18,0.35,1.03
['14'],['31'],0.05,0.11,1.02
['31'],['14'],0.05,0.51,1.02
['1'],['4'],0.09,0.28,1.15
['4'],['1'],0.09,0.39,1.15
['34'],['21'],0.08,0.18,1.07
['21'],['34'],0.08,0.47,1.07
['34'],['28'],0.09,0.21,1.1
['28'],['34'],0.09,0.48,1.1
['21'],['30'],0.07,0.39,1.08
['30'],['21'],0.07,0.18,1.08
['0'],['18'],0.09,0.52,1.03
['18'],['0'],0.09,0.18,1.03
['24'],['14'],0.07,0.58,1.14
['14'],['24'],0.07,0.14,1.14
['16'],['18'],0.19,0.54,1.07
['18'],['16'],0.19,0.36,1.07
['0'],['14'],0.09,0.53,1.06
['14'],['0'],0.09,0.19,1.06
['16'],['11'],0.05,0.15,0.86
['11'],['16'],0.05,0.29,0.86
['16'],['0'],0.06,0.18,1.02
['0'],['16'],0.06,0.35,1.02
['16'],['21'],0.06,0.18,1.06
['21'],['16'],0.06,0.36,1.06
['21'],['14'],0.09,0.53,1.05
['14'],['21'],0.09,0.18,1.05
['1'],['15'],0.06,0.18,0.97
['15'],['1'],0.06,0.33,0.97
['26'],['46'],0.06,0.22,0.99
['46'],['26'],0.06,0.26,0.99
['34'],['38'],0.07,0.16,0.99
['38'],['34'],0.07,0.44,0.99
['26'],['34'],0.12,0.45,1.01
['34'],['26'],0.12,0.26,1.01
['26'],['15'],0.06,0.24,1.33
['15'],['26'],0.06,0.35,1.33
['34'],['15'],0.08,0.19,1.03
['15'],['34'],0.08,0.45,1.03
['34'],['35'],0.06,0.14,1.12
['35'],['34'],0.06,0.49,1.12
['0'],['34'],0.08,0.45,1.01
['34'],['0'],0.08,0.18,1.01
['1'],['34'],0.16,0.49,1.1
['34'],['1'],0.16,0.37,1.1
['34'],['46'],0.1,0.22,1.01
['46'],['34'],0.1,0.44,1.01
['1'],['38'],0.07,0.2,1.23
['38'],['1'],0.07,0.41,1.23
['41'],['34'],0.06,0.49,1.1
['34'],['41'],0.06,0.14,1.1
['0'],['1'],0.06,0.35,1.03
['1'],['0'],0.06,0.18,1.03
['1'],['46'],0.08,0.23,1.02
['46'],['1'],0.08,0.34,1.02
['16'],['34'],0.16,0.46,1.04
['34'],['16'],0.16,0.36,1.04
['14'],['47'],0.06,0.12,1.02
['47'],['14'],0.06,0.52,1.02
['18'],['47'],0.06,0.12,1.01
['47'],['18'],0.06,0.51,1.01
['44'],['39'],0.05,0.23,1.12
['39'],['44'],0.05,0.26,1.12
['1'],['39'],0.08,0.24,1.14
['39'],['1'],0.08,0.38,1.14
['1'],['44'],0.08,0.24,1.06
['44'],['1'],0.08,0.36,1.06
['18'],['29'],0.09,0.17,1.01
['29'],['18'],0.09,0.52,1.01
['18'],['44'],0.12,0.24,1.06
['44'],['18'],0.12,0.54,1.06
['18'],['46'],0.11,0.22,1.01
['46'],['18'],0.11,0.51,1.01
['44'],['46'],0.05,0.22,1.0
['46'],['44'],0.05,0.23,1.0
['1'],['29'],0.05,0.16,0.97
['29'],['1'],0.05,0.33,0.97
['18'],['31'],0.05,0.1,1.0
['31'],['18'],0.05,0.51,1.0
['42'],['26'],0.06,0.27,1.05
['26'],['42'],0.06,0.22,1.05
['34'],['12'],0.1,0.22,1.02
['12'],['34'],0.1,0.45,1.02
['46'],['6'],0.07,0.32,0.97
['6'],['46'],0.07,0.22,0.97
['42'],['6'],0.07,0.36,1.08
['6'],['42'],0.07,0.22,1.08
['42'],['18'],0.11,0.51,1.0
['18'],['42'],0.11,0.21,1.0
['19'],['6'],0.13,0.36,1.09
['6'],['19'],0.13,0.39,1.09
['19'],['46'],0.08,0.22,0.98
['46'],['19'],0.08,0.35,0.98
['42'],['34'],0.1,0.47,1.06
['34'],['42'],0.1,0.22,1.06
['19'],['29'],0.06,0.17,1.03
['29'],['19'],0.06,0.37,1.03
['29'],['6'],0.07,0.4,1.2
['6'],['29'],0.07,0.2,1.2
['24'],['34'],0.06,0.45,1.01
['34'],['24'],0.06,0.13,1.01
['12'],['30'],0.09,0.41,1.13
['30'],['12'],0.09,0.25,1.13
['26'],['30'],0.11,0.41,1.13
['30'],['26'],0.11,0.29,1.13
['26'],['6'],0.09,0.34,1.02
['6'],['26'],0.09,0.27,1.02
['26'],['19'],0.11,0.41,1.13
['19'],['26'],0.11,0.29,1.13
['42'],['46'],0.05,0.24,1.09
['46'],['42'],0.05,0.23,1.09
['29'],['30'],0.07,0.41,1.13
['30'],['29'],0.07,0.19,1.13
['30'],['6'],0.12,0.34,1.03
['6'],['30'],0.12,0.37,1.03
['18'],['35'],0.07,0.14,1.11
['35'],['18'],0.07,0.56,1.11
['18'],['6'],0.17,0.34,1.02
['6'],['18'],0.17,0.52,1.02
['12'],['46'],0.05,0.25,1.11
['46'],['12'],0.05,0.24,1.11
['19'],['12'],0.08,0.22,1.0
