antecedent,consequent,support,confidence,lift
['48'],['19'],0.19,0.48,1.04
['19'],['48'],0.19,0.41,1.04
['48'],['1'],0.17,0.43,0.99
['1'],['48'],0.17,0.39,0.99
['16'],['26'],0.15,0.36,1.05
['26'],['16'],0.15,0.44,1.05
['1'],['49'],0.14,0.33,1.02
['49'],['1'],0.14,0.44,1.02
['26'],['42'],0.1,0.28,1.09
['42'],['26'],0.1,0.37,1.09
['1'],['19'],0.21,0.48,1.03
['19'],['1'],0.21,0.45,1.03
['32'],['26'],0.12,0.37,1.09
['26'],['32'],0.12,0.35,1.09
['37'],['30'],0.09,0.46,1.0
['30'],['37'],0.09,0.19,1.0
['3'],['28'],0.05,0.29,1.09
['28'],['3'],0.05,0.2,1.09
['32'],['28'],0.1,0.31,1.14
['28'],['32'],0.1,0.37,1.14
['49'],['3'],0.06,0.18,1.01
['3'],['49'],0.06,0.32,1.01
['32'],['3'],0.06,0.19,1.03
['3'],['32'],0.06,0.33,1.03
['19'],['3'],0.09,0.19,1.06
['3'],['19'],0.09,0.49,1.06
['1'],['28'],0.12,0.28,1.05
['28'],['1'],0.12,0.46,1.05
['19'],['28'],0.13,0.28,1.05
['28'],['19'],0.13,0.49,1.05
['32'],['14'],0.21,0.64,1.04
['14'],['32'],0.21,0.34,1.04
['26'],['37'],0.06,0.18,0.97
['37'],['26'],0.06,0.33,0.97
['48'],['28'],0.1,0.26,0.97
['28'],['48'],0.1,0.38,0.97
['42'],['30'],0.13,0.49,1.08
['30'],['42'],0.13,0.28,1.08
['16'],['30'],0.2,0.47,1.02
['30'],['16'],0.2,0.43,1.02
['48'],['49'],0.14,0.34,1.06
['49'],['48'],0.14,0.42,1.06
['49'],['14'],0.2,0.62,1.01
['14'],['49'],0.2,0.32,1.01
['19'],['14'],0.29,0.63,1.03
['14'],['19'],0.29,0.48,1.03
['32'],['30'],0.16,0.5,1.08
['30'],['32'],0.16,0.35,1.08
['32'],['42'],0.08,0.26,1.02
['42'],['32'],0.08,0.33,1.02
['48'],['3'],0.07,0.19,1.03
['3'],['48'],0.07,0.41,1.03
['16'],['1'],0.19,0.44,1.01
['1'],['16'],0.19,0.43,1.01
['19'],['37'],0.1,0.22,1.14
['37'],['19'],0.1,0.53,1.14
['14'],['30'],0.29,0.47,1.03
['30'],['14'],0.29,0.64,1.03
['49'],['37'],0.06,0.2,1.02
['37'],['49'],0.06,0.33,1.02
['16'],['49'],0.14,0.32,1.0
['49'],['16'],0.14,0.42,1.0
['48'],['14'],0.26,0.65,1.06
['14'],['48'],0.26,0.42,1.06
['1'],['42'],0.11,0.26,1.01
['42'],['1'],0.11,0.44,1.01
['3'],['30'],0.09,0.5,1.1
['30'],['3'],0.09,0.2,1.1
['42'],['14'],0.16,0.61,1.0
['14'],['42'],0.16,0.26,1.0
['1'],['30'],0.21,0.48,1.05
['30'],['1'],0.21,0.45,1.05
['28'],['30'],0.13,0.48,1.06
['30'],['28'],0.13,0.28,1.06
['28'],['14'],0.17,0.65,1.05
['14'],['28'],0.17,0.28,1.05
['32'],['37'],0.06,0.2,1.03
['37'],['32'],0.06,0.33,1.03
['49'],['19'],0.15,0.46,0.99
['19'],['49'],0.15,0.32,0.99
['32'],['19'],0.16,0.5,1.09
['19'],['32'],0.16,0.35,1.09
['26'],['30'],0.16,0.47,1.04
['30'],['26'],0.16,0.35,1.04
['42'],['28'],0.08,0.3,1.12
['28'],['42'],0.08,0.29,1.12
['16'],['28'],0.12,0.29,1.08
['28'],['16'],0.12,0.46,1.08
['16'],['42'],0.12,0.27,1.06
['42'],['16'],0.12,0.45,1.06
['49'],['30'],0.15,0.45,0.99
['30'],['49'],0.15,0.32,0.99
['3'],['14'],0.12,0.65,1.06
['14'],['3'],0.12,0.19,1.06
['48'],['30'],0.18,0.47,1.02
['30'],['48'],0.18,0.4,1.02
['37'],['14'],0.12,0.64,1.04
['14'],['37'],0.12,0.2,1.04
['26'],['19'],0.17,0.5,1.08
['19'],['26'],0.17,0.37,1.08
['42'],['37'],0.06,0.21,1.13
['37'],['42'],0.06,0.29,1.13
['32'],['49'],0.11,0.35,1.08
['49'],['32'],0.11,0.35,1.08
['16'],['3'],0.09,0.2,1.11
['3'],['16'],0.09,0.47,1.11
['19'],['30'],0.23,0.49,1.07
['30'],['19'],0.23,0.49,1.07
['32'],['1'],0.14,0.45,1.03
['1'],['32'],0.14,0.33,1.03
['1'],['3'],0.08,0.19,1.02
['3'],['1'],0.08,0.44,1.02
['16'],['48'],0.17,0.41,1.03
['48'],['16'],0.17,0.44,1.03
['49'],['42'],0.09,0.27,1.03
['42'],['49'],0.09,0.33,1.03
['42'],['19'],0.13,0.5,1.08
['19'],['42'],0.13,0.28,1.08
['49'],['26'],0.12,0.37,1.1
['26'],['49'],0.12,0.36,1.1
['48'],['26'],0.15,0.38,1.11
['26'],['48'],0.15,0.44,1.11
['1'],['14'],0.27,0.63,1.02
['14'],['1'],0.27,0.44,1.02
['16'],['37'],0.09,0.22,1.15
['37'],['16'],0.09,0.49,1.15
['1'],['37'],0.09,0.2,1.06
['37'],['1'],0.09,0.46,1.06
['26'],['28'],0.1,0.29,1.07
['28'],['26'],0.1,0.36,1.07
['48'],['37'],0.08,0.19,1.02
['37'],['48'],0.08,0.4,1.02
['26'],['3'],0.06,0.18,0.96
['3'],['26'],0.06,0.33,0.96
['16'],['32'],0.15,0.35,1.08
['32'],['16'],0.15,0.46,1.08
['32'],['48'],0.13,0.41,1.05
['48'],['32'],0.13,0.34,1.05
['48'],['42'],0.11,0.28,1.08
['42'],['48'],0.11,0.42,1.08
['1'],['26'],0.15,0.35,1.03
['26'],['1'],0.15,0.45,1.03
['16'],['19'],0.2,0.48,1.04
['19'],['16'],0.2,0.44,1.04
['28'],['37'],0.06,0.21,1.09
['37'],['28'],0.06,0.29,1.09
