antecedent,consequent,support,confidence,lift
['32'],['14'],0.06,0.36,1.04
['14'],['32'],0.06,0.17,1.04
['48'],['14'],0.07,0.38,1.09
['14'],['48'],0.07,0.21,1.09
['16'],['14'],0.08,0.39,1.13
['14'],['16'],0.08,0.24,1.13
['18'],['26'],0.06,0.18,1.08
['26'],['18'],0.06,0.37,1.08
['18'],['14'],0.13,0.39,1.13
['14'],['18'],0.13,0.38,1.13
['1'],['14'],0.08,0.35,1.03
['14'],['1'],0.08,0.22,1.03
['1'],['18'],0.08,0.38,1.13
['18'],['1'],0.08,0.24,1.13
['26'],['14'],0.06,0.37,1.08
['14'],['26'],0.06,0.18,1.08
['18'],['30'],0.08,0.24,1.04
['30'],['18'],0.08,0.35,1.04
['19'],['14'],0.08,0.34,0.98
['14'],['19'],0.08,0.23,0.98
['30'],['14'],0.09,0.38,1.12
['14'],['30'],0.09,0.26,1.12
['18'],['34'],0.1,0.3,1.04
['34'],['18'],0.1,0.35,1.04
['34'],['19'],0.07,0.25,1.07
['19'],['34'],0.07,0.31,1.07
['32'],['34'],0.05,0.31,1.08
['34'],['32'],0.05,0.17,1.08
['19'],['30'],0.06,0.26,1.1
['30'],['19'],0.06,0.26,1.1
['34'],['14'],0.1,0.34,0.99
['14'],['34'],0.1,0.29,0.99
['32'],['18'],0.06,0.35,1.02
['18'],['32'],0.06,0.16,1.02
['18'],['19'],0.08,0.24,1.03
['19'],['18'],0.08,0.35,1.03
['34'],['30'],0.07,0.25,1.06
['30'],['34'],0.07,0.31,1.06
['16'],['18'],0.09,0.41,1.2
['18'],['16'],0.09,0.26,1.2
['30'],['6'],0.05,0.22,1.02
['6'],['30'],0.05,0.24,1.02
['34'],['6'],0.07,0.25,1.13
['6'],['34'],0.07,0.33,1.13
['19'],['6'],0.06,0.26,1.21
['6'],['19'],0.06,0.28,1.21
['18'],['6'],0.08,0.23,1.04
['6'],['18'],0.08,0.35,1.04
['1'],['6'],0.05,0.24,1.1
['6'],['1'],0.05,0.24,1.1
['48'],['18'],0.06,0.32,0.95
['18'],['48'],0.06,0.18,0.95
['1'],['30'],0.05,0.24,1.03
['30'],['1'],0.05,0.22,1.03
['18'],['12'],0.05,0.16,1.12
['12'],['18'],0.05,0.38,1.12
['49'],['14'],0.05,0.35,1.02
['14'],['49'],0.05,0.15,1.02
['14'],['6'],0.08,0.22,1.03
['6'],['14'],0.08,0.35,1.03
['18'],['4'],0.05,0.16,1.05
['4'],['18'],0.05,0.36,1.05
['16'],['34'],0.06,0.27,0.94
['34'],['16'],0.06,0.2,0.94
['1'],['34'],0.07,0.31,1.08
['34'],['1'],0.07,0.23,1.08
['16'],['19'],0.05,0.24,1.04
['19'],['16'],0.05,0.22,1.04
['12'],['14'],0.05,0.38,1.11
['14'],['12'],0.05,0.16,1.11
['4'],['14'],0.05,0.34,0.99
['14'],['4'],0.05,0.15,0.99
['49'],['18'],0.06,0.37,1.1
['18'],['49'],0.06,0.17,1.1
['48'],['34'],0.06,0.3,1.02
['34'],['48'],0.06,0.19,1.02
