antecedent,consequent,support,confidence,lift
['40'],['5'],0.12,0.27,1.02
['5'],['40'],0.12,0.47,1.02
['49'],['39'],0.13,0.5,1.1
['39'],['49'],0.13,0.28,1.1
['43'],['5'],0.11,0.29,1.08
['5'],['43'],0.11,0.43,1.08
['43'],['21'],0.14,0.34,1.08
['21'],['43'],0.14,0.43,1.08
['21'],['39'],0.15,0.48,1.06
['39'],['21'],0.15,0.33,1.06
['40'],['39'],0.22,0.48,1.05
['39'],['40'],0.22,0.48,1.05
['3'],['28'],0.25,0.52,1.06
['28'],['3'],0.25,0.51,1.06
['25'],['28'],0.11,0.49,1.0
['28'],['25'],0.11,0.23,1.0
['29'],['38'],0.3,0.78,1.02
['38'],['29'],0.3,0.4,1.02
['28'],['21'],0.16,0.33,1.05
['21'],['28'],0.16,0.51,1.05
['49'],['3'],0.12,0.48,0.99
['3'],['49'],0.12,0.25,0.99
['45'],['38'],0.13,0.79,1.04
['38'],['45'],0.13,0.17,1.04
['40'],['29'],0.18,0.39,1.0
['29'],['40'],0.18,0.46,1.0
['49'],['11'],0.14,0.57,1.08
['11'],['49'],0.14,0.28,1.08
['0'],['11'],0.13,0.54,1.04
['11'],['0'],0.13,0.25,1.04
['3'],['29'],0.19,0.39,0.99
['29'],['3'],0.19,0.48,0.99
['34'],['38'],0.16,0.77,1.02
['38'],['34'],0.16,0.2,1.02
['28'],['29'],0.2,0.41,1.05
['29'],['28'],0.2,0.51,1.05
['5'],['39'],0.13,0.49,1.08
['39'],['5'],0.13,0.29,1.08
['3'],['21'],0.15,0.32,1.0
['21'],['3'],0.15,0.49,1.0
['11'],['3'],0.27,0.53,1.08
['3'],['11'],0.27,0.56,1.08
['49'],['38'],0.2,0.78,1.03
['38'],['49'],0.2,0.26,1.03
['40'],['43'],0.2,0.43,1.08
['43'],['40'],0.2,0.49,1.08
['40'],['28'],0.23,0.5,1.02
['28'],['40'],0.23,0.47,1.02
['3'],['39'],0.22,0.46,1.01
['39'],['3'],0.22,0.49,1.01
['3'],['36'],0.31,0.64,1.02
['36'],['3'],0.31,0.5,1.02
['25'],['39'],0.12,0.52,1.15
['39'],['25'],0.12,0.26,1.15
['11'],['5'],0.14,0.27,1.03
['5'],['11'],0.14,0.54,1.03
['3'],['5'],0.13,0.27,1.02
['5'],['3'],0.13,0.5,1.02
['36'],['5'],0.17,0.27,1.04
['5'],['36'],0.17,0.65,1.04
['0'],['39'],0.11,0.45,1.0
['39'],['0'],0.11,0.24,1.0
['36'],['45'],0.11,0.18,1.1
['45'],['36'],0.11,0.69,1.1
['3'],['38'],0.38,0.77,1.02
['38'],['3'],0.38,0.5,1.02
['29'],['39'],0.18,0.47,1.03
['39'],['29'],0.18,0.4,1.03
['49'],['36'],0.16,0.63,1.01
['36'],['49'],0.16,0.26,1.01
['25'],['36'],0.15,0.66,1.05
['36'],['25'],0.15,0.24,1.05
['0'],['28'],0.12,0.5,1.03
['28'],['0'],0.12,0.24,1.03
['43'],['39'],0.18,0.44,0.98
['39'],['43'],0.18,0.39,0.98
['10'],['38'],0.16,0.79,1.05
['38'],['10'],0.16,0.2,1.05
['28'],['36'],0.32,0.65,1.04
['36'],['28'],0.32,0.51,1.04
['43'],['3'],0.2,0.5,1.04
['3'],['43'],0.2,0.42,1.04
['11'],['28'],0.26,0.5,1.03
['28'],['11'],0.26,0.54,1.03
['13'],['38'],0.13,0.78,1.04
['38'],['13'],0.13,0.17,1.04
['40'],['25'],0.11,0.24,1.04
['25'],['40'],0.11,0.47,1.04
['43'],['28'],0.21,0.52,1.06
['28'],['43'],0.21,0.43,1.06
['36'],['39'],0.29,0.47,1.03
['39'],['36'],0.29,0.65,1.03
['43'],['11'],0.21,0.54,1.03
['11'],['43'],0.21,0.41,1.03
['10'],['28'],0.1,0.52,1.07
['28'],['10'],0.1,0.21,1.07
['11'],['29'],0.21,0.41,1.04
['29'],['11'],0.21,0.54,1.04
['36'],['29'],0.26,0.42,1.07
['29'],['36'],0.26,0.67,1.07
['36'],['38'],0.49,0.77,1.02
['38'],['36'],0.49,0.64,1.02
['34'],['11'],0.12,0.58,1.12
['11'],['34'],0.12,0.23,1.12
['28'],['39'],0.23,0.47,1.05
['39'],['28'],0.23,0.51,1.05
['25'],['11'],0.13,0.56,1.07
['11'],['25'],0.13,0.25,1.07
['0'],['38'],0.18,0.77,1.01
['38'],['0'],0.18,0.24,1.01
['29'],['5'],0.11,0.28,1.05
['5'],['29'],0.11,0.41,1.05
['40'],['49'],0.12,0.27,1.06
