antecedent,consequent,support,confidence,lift
['48'],['30'],0.07,0.3,1.11
['30'],['48'],0.07,0.24,1.11
['32'],['14'],0.07,0.4,1.05
['14'],['32'],0.07,0.19,1.05
['48'],['14'],0.08,0.38,0.98
['14'],['48'],0.08,0.22,0.98
['42'],['14'],0.05,0.39,1.01
['14'],['42'],0.05,0.14,1.01
['28'],['14'],0.06,0.42,1.1
['14'],['28'],0.06,0.16,1.1
['48'],['16'],0.06,0.25,1.03
['16'],['48'],0.06,0.23,1.03
['16'],['32'],0.06,0.23,1.3
['32'],['16'],0.06,0.32,1.3
['16'],['14'],0.11,0.44,1.15
['14'],['16'],0.11,0.28,1.15
['44'],['14'],0.06,0.39,1.02
['14'],['44'],0.06,0.16,1.02
['18'],['26'],0.07,0.19,1.06
['26'],['18'],0.07,0.4,1.06
['18'],['28'],0.06,0.15,1.04
['28'],['18'],0.06,0.4,1.04
['18'],['21'],0.05,0.13,1.17
['21'],['18'],0.05,0.44,1.17
['18'],['14'],0.16,0.42,1.09
['14'],['18'],0.16,0.41,1.09
['1'],['14'],0.1,0.4,1.04
['14'],['1'],0.1,0.26,1.04
['1'],['18'],0.1,0.41,1.08
['18'],['1'],0.1,0.27,1.08
['1'],['26'],0.05,0.21,1.14
['26'],['1'],0.05,0.29,1.14
['26'],['14'],0.08,0.46,1.19
['14'],['26'],0.08,0.22,1.19
['49'],['14'],0.07,0.39,1.02
['14'],['49'],0.07,0.18,1.02
['18'],['30'],0.11,0.29,1.08
['30'],['18'],0.11,0.41,1.08
['19'],['14'],0.1,0.39,1.02
['14'],['19'],0.1,0.26,1.02
['32'],['30'],0.05,0.28,1.06
['30'],['32'],0.05,0.19,1.06
['30'],['14'],0.11,0.4,1.04
['14'],['30'],0.11,0.28,1.04
['18'],['34'],0.13,0.35,1.05
['34'],['18'],0.13,0.4,1.05
['34'],['19'],0.09,0.28,1.08
['19'],['34'],0.09,0.36,1.08
['32'],['34'],0.06,0.35,1.07
['34'],['32'],0.06,0.19,1.07
['19'],['30'],0.08,0.31,1.17
['30'],['19'],0.08,0.3,1.17
['49'],['34'],0.06,0.34,1.02
['34'],['49'],0.06,0.18,1.02
['34'],['14'],0.13,0.4,1.05
['14'],['34'],0.13,0.35,1.05
['32'],['18'],0.07,0.4,1.07
['18'],['32'],0.07,0.19,1.07
['49'],['18'],0.07,0.41,1.08
['18'],['49'],0.07,0.19,1.08
['18'],['19'],0.1,0.27,1.04
['19'],['18'],0.1,0.39,1.04
['34'],['30'],0.1,0.3,1.14
['30'],['34'],0.1,0.38,1.14
['1'],['30'],0.06,0.25,0.94
['30'],['1'],0.06,0.23,0.94
['16'],['34'],0.08,0.33,0.99
['34'],['16'],0.08,0.24,0.99
['16'],['18'],0.1,0.41,1.09
['18'],['16'],0.1,0.27,1.09
['34'],['28'],0.05,0.16,1.12
['28'],['34'],0.05,0.37,1.12
['46'],['14'],0.05,0.36,0.95
['14'],['46'],0.05,0.14,0.95
['18'],['39'],0.05,0.14,1.0
['39'],['18'],0.05,0.38,1.0
['18'],['44'],0.06,0.16,1.02
['44'],['18'],0.06,0.39,1.02
['34'],['12'],0.06,0.17,1.07
['12'],['34'],0.06,0.35,1.07
['26'],['34'],0.07,0.36,1.08
['34'],['26'],0.07,0.2,1.08
