antecedent,consequent,support,confidence,lift
['48'],['19'],0.09,0.34,1.05
['19'],['48'],0.09,0.28,1.05
['19'],['28'],0.06,0.19,1.06
['28'],['19'],0.06,0.34,1.06
['32'],['14'],0.11,0.49,1.06
['14'],['32'],0.11,0.24,1.06
['42'],['30'],0.07,0.38,1.16
['30'],['42'],0.07,0.2,1.16
['16'],['30'],0.1,0.33,0.99
['30'],['16'],0.1,0.31,0.99
['19'],['14'],0.16,0.49,1.07
['14'],['19'],0.16,0.35,1.07
['32'],['30'],0.08,0.36,1.1
['30'],['32'],0.08,0.25,1.1
['14'],['30'],0.16,0.35,1.06
['30'],['14'],0.16,0.49,1.06
['48'],['14'],0.13,0.49,1.07
['14'],['48'],0.13,0.28,1.07
['42'],['14'],0.08,0.45,0.99
['14'],['42'],0.08,0.17,0.99
['28'],['30'],0.06,0.36,1.08
['30'],['28'],0.06,0.19,1.08
['28'],['14'],0.09,0.49,1.06
['14'],['28'],0.09,0.19,1.06
['32'],['19'],0.07,0.33,1.01
['19'],['32'],0.07,0.23,1.01
['16'],['28'],0.06,0.2,1.1
['28'],['16'],0.06,0.34,1.1
['16'],['42'],0.06,0.18,1.06
['42'],['16'],0.06,0.33,1.06
['3'],['14'],0.06,0.46,1.0
['14'],['3'],0.06,0.12,1.0
['48'],['30'],0.09,0.35,1.07
['30'],['48'],0.09,0.28,1.07
['37'],['14'],0.06,0.5,1.08
['14'],['37'],0.06,0.14,1.08
['19'],['30'],0.12,0.36,1.1
['30'],['19'],0.12,0.35,1.1
['16'],['48'],0.09,0.28,1.07
['48'],['16'],0.09,0.33,1.07
['42'],['19'],0.06,0.34,1.06
['19'],['42'],0.06,0.18,1.06
['16'],['32'],0.08,0.27,1.17
['32'],['16'],0.08,0.36,1.17
['32'],['48'],0.07,0.3,1.14
['48'],['32'],0.07,0.26,1.14
['16'],['19'],0.1,0.33,1.01
['19'],['16'],0.1,0.31,1.01
['16'],['14'],0.16,0.51,1.11
['14'],['16'],0.16,0.34,1.11
['38'],['14'],0.08,0.53,1.15
['14'],['38'],0.08,0.17,1.15
['12'],['14'],0.1,0.52,1.12
['14'],['12'],0.1,0.22,1.12
['14'],['39'],0.1,0.21,1.14
['39'],['14'],0.1,0.52,1.14
['18'],['39'],0.09,0.19,1.06
['39'],['18'],0.09,0.5,1.06
['18'],['14'],0.23,0.5,1.08
['14'],['18'],0.23,0.51,1.08
['18'],['38'],0.07,0.16,1.07
['38'],['18'],0.07,0.5,1.07
['18'],['12'],0.09,0.2,1.04
['12'],['18'],0.09,0.49,1.04
['18'],['26'],0.11,0.23,1.01
['26'],['18'],0.11,0.47,1.01
['1'],['28'],0.06,0.19,1.06
['28'],['1'],0.06,0.33,1.06
['18'],['28'],0.09,0.18,1.03
['28'],['18'],0.09,0.48,1.03
['18'],['21'],0.08,0.16,1.11
['21'],['18'],0.08,0.52,1.11
['24'],['18'],0.05,0.48,1.03
['18'],['24'],0.05,0.11,1.03
['1'],['18'],0.16,0.53,1.12
['18'],['1'],0.16,0.34,1.12
['1'],['26'],0.07,0.22,0.96
