antecedent,consequent,support,confidence,lift
['41'],['38'],0.11,0.8,1.05
['41'],['36'],0.1,0.7,1.12
['31'],['38'],0.12,0.8,1.06
['13'],['38'],0.13,0.78,1.04
['13'],['36'],0.11,0.66,1.05
['19'],['38'],0.13,0.81,1.06
['19'],['36'],0.11,0.66,1.05
['45'],['38'],0.13,0.79,1.04
['45'],['36'],0.11,0.69,1.1
['6'],['36'],0.11,0.63,1.0
['6'],['38'],0.13,0.77,1.01
['18'],['17'],0.1,0.52,1.14
['18'],['36'],0.12,0.64,1.01
['18'],['11'],0.11,0.59,1.13
['18'],['8'],0.1,0.53,1.07
['18'],['38'],0.15,0.8,1.06
['18'],['48'],0.1,0.54,1.02
['10'],['36'],0.13,0.66,1.06
['10'],"['36', '38']",0.11,0.54,1.12
"['10', '36']",['38'],0.11,0.82,1.08
"['10', '38']",['36'],0.11,0.69,1.09
['10'],['11'],0.11,0.57,1.09
['10'],['8'],0.1,0.52,1.04
['10'],['28'],0.1,0.52,1.07
['10'],['48'],0.11,0.54,1.02
['10'],['38'],0.16,0.79,1.05
['4'],"['36', '38']",0.11,0.54,1.11
"['4', '36']",['38'],0.11,0.82,1.08
"['4', '38']",['36'],0.11,0.67,1.07
['4'],['40'],0.1,0.51,1.12
['4'],['8'],0.1,0.52,1.05
['4'],['38'],0.16,0.8,1.06
['4'],['48'],0.11,0.54,1.01
['4'],['36'],0.13,0.66,1.05
['4'],['11'],0.11,0.57,1.08
['34'],['8'],0.1,0.5,1.01
['34'],['38'],0.16,0.77,1.02
['34'],['48'],0.12,0.59,1.1
['34'],['36'],0.14,0.69,1.09
['34'],['11'],0.12,0.58,1.12
['34'],"['36', '38']",0.11,0.53,1.1
"['34', '36']",['38'],0.11,0.78,1.03
"['34', '38']",['36'],0.11,0.7,1.11
['12'],['40'],0.1,0.46,1.01
['12'],['39'],0.1,0.47,1.04
['12'],['38'],0.17,0.76,1.01
['12'],['48'],0.13,0.57,1.08
['12'],['36'],0.14,0.63,1.01
['12'],['11'],0.11,0.5,0.96
