antecedent,consequent,support,confidence,lift
['48'],['19'],0.13,0.41,1.03
['19'],['48'],0.13,0.34,1.03
['37'],['30'],0.06,0.37,0.96
['30'],['37'],0.06,0.15,0.96
['32'],['28'],0.07,0.24,1.08
['28'],['32'],0.07,0.31,1.08
['32'],['3'],0.05,0.18,1.19
['3'],['32'],0.05,0.34,1.19
['19'],['3'],0.07,0.17,1.09
['3'],['19'],0.07,0.43,1.09
['19'],['28'],0.09,0.23,1.01
['28'],['19'],0.09,0.4,1.01
['32'],['14'],0.16,0.56,1.04
['14'],['32'],0.16,0.3,1.04
['48'],['28'],0.07,0.21,0.96
['28'],['48'],0.07,0.31,0.96
['42'],['30'],0.1,0.42,1.1
['30'],['42'],0.1,0.25,1.1
['16'],['30'],0.14,0.38,0.99
['30'],['16'],0.14,0.36,0.99
['19'],['14'],0.22,0.56,1.02
['14'],['19'],0.22,0.4,1.02
['32'],['30'],0.12,0.41,1.06
['30'],['32'],0.12,0.3,1.06
['32'],['42'],0.07,0.23,1.0
['42'],['32'],0.07,0.29,1.0
['48'],['3'],0.05,0.16,1.05
['3'],['48'],0.05,0.34,1.05
['19'],['37'],0.07,0.17,1.08
['37'],['19'],0.07,0.43,1.08
['14'],['30'],0.22,0.4,1.03
['30'],['14'],0.22,0.56,1.03
['48'],['14'],0.19,0.57,1.06
['14'],['48'],0.19,0.35,1.06
['3'],['30'],0.07,0.44,1.14
['30'],['3'],0.07,0.18,1.14
['42'],['14'],0.13,0.56,1.03
['14'],['42'],0.13,0.23,1.03
['28'],['30'],0.09,0.41,1.05
['30'],['28'],0.09,0.24,1.05
['28'],['14'],0.13,0.56,1.03
['14'],['28'],0.13,0.23,1.03
['32'],['37'],0.05,0.19,1.17
['37'],['32'],0.05,0.34,1.17
['32'],['19'],0.11,0.39,0.98
['19'],['32'],0.11,0.28,0.98
['42'],['28'],0.05,0.22,1.0
['28'],['42'],0.05,0.23,1.0
['16'],['28'],0.09,0.23,1.04
['28'],['16'],0.09,0.38,1.04
['16'],['42'],0.08,0.23,1.01
['42'],['16'],0.08,0.37,1.01
['3'],['14'],0.09,0.57,1.06
['14'],['3'],0.09,0.16,1.06
['48'],['30'],0.13,0.4,1.04
['30'],['48'],0.13,0.34,1.04
['37'],['14'],0.1,0.61,1.12
['14'],['37'],0.1,0.18,1.12
['16'],['3'],0.06,0.15,0.99
['3'],['16'],0.06,0.36,0.99
['19'],['30'],0.17,0.42,1.1
['30'],['19'],0.17,0.44,1.1
['16'],['48'],0.13,0.35,1.06
['48'],['16'],0.13,0.39,1.06
['42'],['19'],0.1,0.44,1.12
['19'],['42'],0.1,0.25,1.12
['16'],['37'],0.07,0.18,1.16
['37'],['16'],0.07,0.42,1.16
['48'],['37'],0.06,0.18,1.13
['37'],['48'],0.06,0.37,1.13
['16'],['32'],0.11,0.31,1.09
['32'],['16'],0.11,0.4,1.09
['32'],['48'],0.1,0.36,1.09
['48'],['32'],0.1,0.31,1.09
['48'],['42'],0.08,0.26,1.14
['42'],['48'],0.08,0.37,1.14
['16'],['19'],0.15,0.42,1.06
['19'],['16'],0.15,0.39,1.06
['16'],['14'],0.21,0.57,1.05
['14'],['16'],0.21,0.38,1.05
['38'],['14'],0.11,0.6,1.1
['14'],['38'],0.11,0.21,1.1
['34'],['38'],0.09,0.19,1.01
['38'],['34'],0.09,0.49,1.01
['16'],['34'],0.18,0.49,1.01
['34'],['16'],0.18,0.37,1.01
['16'],['1'],0.14,0.4,1.06
['1'],['16'],0.14,0.38,1.06
['1'],['34'],0.19,0.5,1.03
['34'],['1'],0.19,0.39,1.03
['1'],['38'],0.08,0.22,1.16
['38'],['1'],0.08,0.44,1.16
['16'],['38'],0.07,0.18,0.94
['38'],['16'],0.07,0.34,0.94
['1'],['14'],0.22,0.57,1.05
['14'],['1'],0.22,0.4,1.05
['34'],['14'],0.27,0.56,1.03
['14'],['34'],0.27,0.5,1.03
['1'],['49'],0.11,0.28,1.0
['49'],['1'],0.11,0.38,1.0
['1'],['19'],0.16,0.41,1.04
['19'],['1'],0.16,0.39,1.04
['11'],['14'],0.1,0.54,0.99
['14'],['11'],0.1,0.18,0.99
['38'],['30'],0.07,0.38,0.98
['30'],['38'],0.07,0.19,0.98
['1'],['28'],0.09,0.24,1.08
['28'],['1'],0.09,0.41,1.08
['18'],['11'],0.1,0.18,1.02
['11'],['18'],0.1,0.55,1.02
['49'],['14'],0.15,0.54,1.0
['14'],['49'],0.15,0.28,1.0
['18'],['30'],0.22,0.41,1.07
['30'],['18'],0.22,0.58,1.07
['18'],['28'],0.12,0.23,1.03
['28'],['18'],0.12,0.55,1.03
['49'],['38'],0.07,0.23,1.21
['38'],['49'],0.07,0.34,1.21
['1'],['11'],0.07,0.2,1.09
['11'],['1'],0.07,0.41,1.09
['11'],['30'],0.08,0.44,1.14
['30'],['11'],0.08,0.2,1.14
['34'],['18'],0.27,0.56,1.05
['18'],['34'],0.27,0.5,1.05
['34'],['19'],0.2,0.42,1.05
['19'],['34'],0.2,0.51,1.05
['1'],['30'],0.15,0.4,1.03
['30'],['1'],0.15,0.39,1.03
['49'],['19'],0.11,0.4,1.02
['19'],['49'],0.11,0.29,1.02
['49'],['30'],0.12,0.41,1.07
['30'],['49'],0.12,0.3,1.07
['34'],['28'],0.12,0.24,1.09
['28'],['34'],0.12,0.52,1.09
