antecedent,consequent,support,confidence,lift
['29'],['38'],0.3,0.78,1.02
['38'],['29'],0.3,0.4,1.02
['14'],['38'],0.31,0.78,1.03
['38'],['14'],0.31,0.41,1.03
['43'],['38'],0.31,0.79,1.04
['38'],['43'],0.31,0.42,1.04
['9'],['38'],0.33,0.77,1.01
['38'],['9'],0.33,0.44,1.01
['47'],['38'],0.35,0.78,1.03
['38'],['47'],0.35,0.46,1.03
['39'],['38'],0.35,0.78,1.03
['38'],['39'],0.35,0.47,1.03
['40'],['38'],0.35,0.77,1.02
['38'],['40'],0.35,0.47,1.02
['17'],['38'],0.36,0.78,1.03
['38'],['17'],0.36,0.47,1.03
['3'],['38'],0.38,0.77,1.02
['38'],['3'],0.38,0.5,1.02
['3'],['36'],0.31,0.64,1.02
['36'],['3'],0.31,0.5,1.02
['28'],['36'],0.32,0.65,1.04
['36'],['28'],0.32,0.51,1.04
['28'],['38'],0.38,0.78,1.03
['38'],['28'],0.38,0.5,1.03
['8'],['36'],0.32,0.65,1.03
['36'],['8'],0.32,0.51,1.03
['8'],['38'],0.39,0.77,1.02
['38'],['8'],0.39,0.51,1.02
['11'],['36'],0.34,0.65,1.04
['36'],['11'],0.34,0.54,1.04
['11'],['38'],0.41,0.78,1.03
['38'],['11'],0.41,0.54,1.03
['48'],['36'],0.34,0.63,1.01
['36'],['48'],0.34,0.53,1.01
['48'],['38'],0.41,0.78,1.03
['38'],['48'],0.41,0.55,1.03
['36'],['38'],0.49,0.77,1.02
['38'],['36'],0.49,0.64,1.02
