antecedent,consequent,support,confidence,lift
['48'],['30'],0.07,0.3,1.05
['30'],['48'],0.07,0.26,1.05
['32'],['14'],0.08,0.42,0.98
['14'],['32'],0.08,0.19,0.98
['48'],['14'],0.11,0.46,1.07
['14'],['48'],0.11,0.26,1.07
['42'],['14'],0.07,0.42,0.98
['14'],['42'],0.07,0.16,0.98
['28'],['14'],0.07,0.43,1.01
['14'],['28'],0.07,0.16,1.01
['48'],['16'],0.07,0.28,1.08
['16'],['48'],0.07,0.26,1.08
['16'],['32'],0.06,0.23,1.18
['32'],['16'],0.06,0.31,1.18
['48'],['32'],0.05,0.2,1.05
['32'],['48'],0.05,0.26,1.05
['16'],['14'],0.12,0.46,1.09
['14'],['16'],0.12,0.29,1.09
['32'],['19'],0.07,0.34,1.12
['19'],['32'],0.07,0.22,1.12
['19'],['4'],0.06,0.18,1.0
['4'],['19'],0.06,0.3,1.0
['38'],['14'],0.06,0.45,1.05
['14'],['38'],0.06,0.14,1.05
['12'],['14'],0.08,0.45,1.04
['14'],['12'],0.08,0.18,1.04
['14'],['39'],0.07,0.16,1.07
['39'],['14'],0.07,0.46,1.07
['18'],['39'],0.07,0.16,1.07
['39'],['18'],0.07,0.45,1.07
['18'],['14'],0.19,0.46,1.07
['14'],['18'],0.19,0.45,1.07
['18'],['38'],0.06,0.15,1.09
['38'],['18'],0.06,0.46,1.09
['18'],['12'],0.09,0.2,1.15
['12'],['18'],0.09,0.49,1.15
['1'],['49'],0.05,0.2,1.0
['49'],['1'],0.05,0.28,1.0
['1'],['19'],0.08,0.3,0.98
['19'],['1'],0.08,0.28,0.98
['11'],['14'],0.06,0.44,1.03
['14'],['11'],0.06,0.14,1.03
['18'],['26'],0.09,0.22,1.07
['26'],['18'],0.09,0.45,1.07
['18'],['11'],0.06,0.15,1.13
['11'],['18'],0.06,0.48,1.13
['49'],['14'],0.08,0.41,0.96
['14'],['49'],0.08,0.19,0.96
['18'],['30'],0.13,0.3,1.04
['30'],['18'],0.13,0.44,1.04
['18'],['28'],0.07,0.16,1.02
['28'],['18'],0.07,0.43,1.02
['19'],['14'],0.14,0.45,1.06
['14'],['19'],0.14,0.32,1.06
['32'],['30'],0.06,0.3,1.05
['30'],['32'],0.06,0.21,1.05
['26'],['34'],0.08,0.39,1.05
['34'],['26'],0.08,0.22,1.05
['30'],['14'],0.13,0.45,1.05
['14'],['30'],0.13,0.3,1.05
['18'],['34'],0.16,0.38,1.02
['34'],['18'],0.16,0.43,1.02
['34'],['19'],0.11,0.31,1.01
['19'],['34'],0.11,0.37,1.01
['1'],['30'],0.08,0.28,0.98
['30'],['1'],0.08,0.28,0.98
['49'],['19'],0.06,0.32,1.05
['19'],['49'],0.06,0.21,1.05
['26'],['30'],0.07,0.31,1.09
['30'],['26'],0.07,0.23,1.09
['49'],['30'],0.05,0.26,0.92
['30'],['49'],0.05,0.18,0.92
['1'],['34'],0.11,0.39,1.05
['34'],['1'],0.11,0.29,1.05
['34'],['28'],0.06,0.17,1.09
['28'],['34'],0.06,0.4,1.09
['32'],['34'],0.08,0.41,1.1
['34'],['32'],0.08,0.21,1.1
['26'],['19'],0.07,0.33,1.1
['19'],['26'],0.07,0.23,1.1
['34'],['11'],0.05,0.14,1.04
['11'],['34'],0.05,0.38,1.04
['19'],['30'],0.09,0.29,1.0
['30'],['19'],0.09,0.3,1.0
['32'],['1'],0.05,0.28,1.0
['1'],['32'],0.05,0.2,1.0
['49'],['34'],0.07,0.35,0.96
['34'],['49'],0.07,0.19,0.96
['1'],['14'],0.12,0.42,0.98
['14'],['1'],0.12,0.27,0.98
['34'],['14'],0.16,0.43,1.0
['14'],['34'],0.16,0.37,1.0
['32'],['18'],0.09,0.46,1.09
['18'],['32'],0.09,0.21,1.09
['49'],['18'],0.09,0.48,1.14
['18'],['49'],0.09,0.22,1.14
['18'],['19'],0.13,0.3,1.0
['19'],['18'],0.13,0.42,1.0
['34'],['30'],0.11,0.3,1.06
['30'],['34'],0.11,0.39,1.06
['1'],['18'],0.13,0.47,1.12
['18'],['1'],0.13,0.31,1.12
['1'],['26'],0.06,0.22,1.05
['26'],['1'],0.06,0.29,1.05
['26'],['14'],0.1,0.47,1.11
['14'],['26'],0.1,0.23,1.11
['4'],['30'],0.05,0.29,1.0
['30'],['4'],0.05,0.18,1.0
