antecedent,consequent,support,confidence,lift
['5'],['38'],0.21,0.78,1.03
['38'],['5'],0.21,0.27,1.03
['23'],['38'],0.23,0.8,1.06
['38'],['23'],0.23,0.3,1.06
['33'],['38'],0.23,0.77,1.02
['38'],['33'],0.23,0.31,1.02
['21'],['38'],0.25,0.79,1.04
['38'],['21'],0.25,0.33,1.04
['21'],['36'],0.22,0.68,1.09
['36'],['21'],0.22,0.34,1.09
['35'],['48'],0.21,0.56,1.06
['48'],['35'],0.21,0.39,1.06
['35'],['36'],0.25,0.68,1.08
['36'],['35'],0.25,0.4,1.08
['35'],['11'],0.2,0.55,1.06
['11'],['35'],0.2,0.39,1.06
['35'],['38'],0.29,0.78,1.03
['38'],['35'],0.29,0.38,1.03
['29'],['28'],0.2,0.51,1.05
['28'],['29'],0.2,0.41,1.05
['29'],"['36', '38']",0.21,0.53,1.1
['36'],"['29', '38']",0.21,0.33,1.09
['38'],"['36', '29']",0.21,0.27,1.05
"['36', '29']",['38'],0.21,0.79,1.05
"['29', '38']",['36'],0.21,0.69,1.09
"['36', '38']",['29'],0.21,0.43,1.1
['29'],['11'],0.21,0.54,1.04
['11'],['29'],0.21,0.41,1.04
['29'],['38'],0.3,0.78,1.02
['38'],['29'],0.3,0.4,1.02
['29'],['48'],0.22,0.56,1.05
['48'],['29'],0.22,0.41,1.05
['29'],['36'],0.26,0.67,1.07
['36'],['29'],0.26,0.42,1.07
['29'],['8'],0.21,0.53,1.06
['8'],['29'],0.21,0.41,1.06
['14'],['38'],0.31,0.78,1.03
['38'],['14'],0.31,0.41,1.03
['14'],['28'],0.2,0.52,1.06
['28'],['14'],0.2,0.42,1.06
['14'],['11'],0.21,0.53,1.02
['11'],['14'],0.21,0.4,1.02
['14'],['48'],0.22,0.56,1.05
['48'],['14'],0.22,0.41,1.05
['14'],"['36', '38']",0.2,0.52,1.07
['36'],"['38', '14']",0.2,0.33,1.06
['38'],"['36', '14']",0.2,0.27,1.07
"['36', '14']",['38'],0.2,0.81,1.07
"['38', '14']",['36'],0.2,0.66,1.06
"['36', '38']",['14'],0.2,0.42,1.07
['14'],['36'],0.25,0.64,1.02
['36'],['14'],0.25,0.4,1.02
['14'],['8'],0.21,0.52,1.04
['8'],['14'],0.21,0.41,1.04
['43'],['8'],0.2,0.5,1.01
['8'],['43'],0.2,0.4,1.01
['43'],"['36', '38']",0.22,0.54,1.11
['36'],"['43', '38']",0.22,0.34,1.09
['38'],"['43', '36']",0.22,0.29,1.06
"['43', '36']",['38'],0.22,0.8,1.06
"['43', '38']",['36'],0.22,0.69,1.09
"['36', '38']",['43'],0.22,0.44,1.11
['43'],['28'],0.21,0.52,1.06
['28'],['43'],0.21,0.43,1.06
['43'],['11'],0.21,0.54,1.03
['11'],['43'],0.21,0.41,1.03
['43'],['3'],0.2,0.5,1.04
['3'],['43'],0.2,0.42,1.04
['43'],['38'],0.31,0.79,1.04
['38'],['43'],0.31,0.42,1.04
['43'],['48'],0.23,0.56,1.06
['48'],['43'],0.23,0.43,1.06
['43'],['36'],0.27,0.67,1.07
['36'],['43'],0.27,0.43,1.07
['9'],['40'],0.2,0.47,1.02
